Mod:Item:MetaData, Localized Name
OpenBlocks:elevator_rotating:8, Rotating Elevator
OpenBlocks:elevator_rotating:9, Rotating Elevator
OpenBlocks:elevator_rotating:10, Rotating Elevator
OpenBlocks:elevator_rotating:11, Rotating Elevator
OpenBlocks:elevator_rotating:12, Rotating Elevator
OpenBlocks:elevator_rotating:13, Rotating Elevator
OpenBlocks:elevator_rotating:14, Rotating Elevator
OpenBlocks:elevator_rotating:15, Rotating Elevator
OpenBlocks:heal, Healer
OpenBlocks:target, Target
OpenBlocks:grave, Grave
OpenBlocks:flag, Flag
OpenBlocks:tank, Tank
OpenBlocks:trophy, Trophy
OpenBlocks:beartrap, Bear Trap
OpenBlocks:sprinkler, Sprinkler
OpenBlocks:cannon, Item Cannon
OpenBlocks:vacuumhopper, Vacuum Hopper
OpenBlocks:sponge, Sponge
OpenBlocks:bigbutton, Big Button
OpenBlocks:imaginary:0, Magic Pencil
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:fan, Fan
OpenBlocks:xpbottler, XP Bottler
OpenBlocks:village_highlighter, Village Highlighter
OpenBlocks:path, Path
OpenBlocks:autoanvil, Auto Anvil
OpenBlocks:autoenchantmenttable, Auto Enchantment Table
OpenBlocks:xpdrain, XP Drain
OpenBlocks:blockbreaker, Block Breaker
OpenBlocks:blockPlacer, Block Placer
OpenBlocks:itemDropper, Item Dropper
OpenBlocks:ropeladder, Rope Ladder
OpenBlocks:donationStation, Donation Station
OpenBlocks:paintmixer, Paint Mixer
OpenBlocks:canvas, Canvas
OpenBlocks:paintcan, Paint Can
OpenBlocks:canvasglass, Glass Canvas
OpenBlocks:projector, Height Map Projector
OpenBlocks:drawingtable, Drawing Table
OpenBlocks:sky:0, Sky Block
OpenBlocks:sky:1, Sky Block
OpenBlocks:xpshower, XP Shower
OpenBlocks:goldenegg, Golden Egg
OpenBlocks:scaffolding, Scaffolding
OpenComputers:accessPoint:0, §cAccess Point§7
OpenComputers:adapter:0, Adapter
OpenComputers:assembler:0, Electronics Assembler
OpenComputers:cable:0, Cable
OpenComputers:capacitor:0, Capacitor
OpenComputers:case1:0, Computer Case (Tier 1)
OpenComputers:case3:0, Computer Case (Tier 3)
OpenComputers:case2:0, Computer Case (Tier 2)
OpenComputers:charger:0, Charger
OpenComputers:disassembler:0, Disassembler
OpenComputers:diskDrive:0, Disk Drive
OpenComputers:geolyzer:0, Geolyzer
OpenComputers:hologram1:0, Hologram Projector (Tier 1)
OpenComputers:hologram2:0, Hologram Projector (Tier 2)
OpenComputers:keyboard:0, Keyboard
OpenComputers:motionSensor:0, Motion Sensor
OpenComputers:powerConverter:0, Power Converter
OpenComputers:powerDistributor:0, Power Distributor
OpenComputers:raid:0, Raid
OpenComputers:redstone:0, Redstone I/O
OpenComputers:relay:0, Relay
OpenComputers:screen1:0, Screen (Tier 1)
OpenComputers:screen3:0, Screen (Tier 3)
OpenComputers:screen2:0, Screen (Tier 2)
OpenComputers:rack:0, Rack
OpenComputers:switch:0, §cSwitch§7
OpenComputers:caseCreative:0, Computer Case (Creative)
OpenComputers:microcontroller:0, Microcontroller
OpenComputers:robotAfterimage:0, Robot
OpenComputers:robot:0, Robot.name
OpenComputers:print:0, 3D Print
OpenComputers:printer:0, 3D Printer
OpenComputers:chameliumBlock:0, Block of Chamelium
OpenComputers:waypoint:0, Waypoint
OpenComputers:endstone:0, End Stone
OpenComputers:netSplitter:0, Net Splitter
OpenComputers:transposer:0, Transposer
harvestcraft:cuttingboard, Cutting Board
harvestcraft:pot, Pot
harvestcraft:beehive, Beehive
harvestcraft:apiary, Apiary
harvestcraft:presser, Presser
harvestcraft:sink, tile.sink.name
harvestcraft:salt, Salt Ore
harvestcraft:spamcompressedsaltBlockalt, Compressed Salt Block
harvestcraft:market, Market
harvestcraft:oven, Oven
harvestcraft:ovenon, tile.ovenon.name
harvestcraft:churn, Churn
harvestcraft:churnon, tile.churnon.name
harvestcraft:quern, Quern
harvestcraft:quernon, tile.quernon.name
harvestcraft:fishtrap, Fish Trap
harvestcraft:animaltrap, Animal Trap
harvestcraft:berrygarden, Berry Garden
harvestcraft:desertgarden, Desert Garden
harvestcraft:grassgarden, Grass Garden
harvestcraft:gourdgarden, Gourd Garden
harvestcraft:groundgarden, Ground Garden
harvestcraft:herbgarden, Herb Garden
harvestcraft:leafygarden, Leafy Garden
harvestcraft:mushroomgarden, Mushroom Garden
harvestcraft:stalkgarden, Stalk Garden
harvestcraft:textilegarden, Textile Garden
harvestcraft:tropicalgarden, Tropical Garden
harvestcraft:watergarden, Water Garden
harvestcraft:pamApple, Apple
harvestcraft:pamappleSapling, Apple Sapling
harvestcraft:pamAlmond, Almond
harvestcraft:pamalmondSapling, Almond Sapling
harvestcraft:pamApricot, Apricot
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon Wood
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple Wood
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark Wood
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
harvestcraft:pambroccoliCrop, Broccoli Crop
harvestcraft:pamcauliflowerCrop, Cauliflower Crop
harvestcraft:pamleekCrop, Leek Crop
harvestcraft:pamlettuceCrop, Lettuce Crop
harvestcraft:pamscallionCrop, Scallion Crop
harvestcraft:pamartichokeCrop, Artichoke Crop
harvestcraft:pambrusselsproutCrop, Brussel Sprout Crop
harvestcraft:pamcabbageCrop, Cabbage Crop
harvestcraft:pamspinachCrop, Spinach Crop
harvestcraft:pamwhitemushroomCrop, White Mushroom Crop
harvestcraft:pambeanCrop, Bean Crop
harvestcraft:pamsoybeanCrop, Soybean Crop
harvestcraft:pambellpepperCrop, Bell Pepper Crop
harvestcraft:pamchilipepperCrop, Chili Pepper Crop
harvestcraft:pameggplantCrop, Eggplant Crop
harvestcraft:pamokraCrop, Okra Crop
harvestcraft:pampeasCrop, Peas Crop
harvestcraft:pamtomatoCrop, Tomato Crop
harvestcraft:pamcottonCrop, Cotton Crop
harvestcraft:pampineappleCrop, Pineapple Crop
harvestcraft:pamgrapeCrop, Grape Crop
harvestcraft:pamkiwiCrop, Kiwi Crop
harvestcraft:pamcranberryCrop, Cranberry Crop
harvestcraft:pamriceCrop, Rice Crop
harvestcraft:pamseaweedCrop, Seaweed Crop
harvestcraft:pamcurryleafCrop, Curry Leaf Crop
harvestcraft:pamsesameseedsCrop, Sesame Seeds Crop
harvestcraft:pamwaterchestnutCrop, Water Chestnut Crop
harvestcraft:pamcandleDeco1, White Candle
harvestcraft:pamcandleDeco2, Orange Candle
harvestcraft:pamcandleDeco3, Magenta Candle
harvestcraft:pamcandleDeco4, Light Blue Candle
harvestcraft:pamcandleDeco5, Yellow Candle
harvestcraft:pamcandleDeco6, Lime Candle
harvestcraft:pamcandleDeco7, Pink Candle
harvestcraft:pamcandleDeco8, Dark Grey Candle
harvestcraft:pamcandleDeco9, Light Grey Candle
harvestcraft:pamcandleDeco10, Cyan Candle
harvestcraft:pamcandleDeco11, Purple Candle
harvestcraft:pamcandleDeco12, Blue Candle
harvestcraft:pamcandleDeco13, Brown Candle
harvestcraft:pamcandleDeco14, Green Candle
harvestcraft:pamcandleDeco15, Red Candle
harvestcraft:pamcandleDeco16, Black Candle
harvestcraft:pamcarrotCake, Carrot Cake
harvestcraft:pamcheeseCake, Cheese Cake
harvestcraft:pamcherrycheeseCake, Cherry Cheese Cake
harvestcraft:pampineappleupsidedownCake, Pineapple Upside Down Cake
harvestcraft:pamchocolatesprinkleCake, Chocolate Sprinkles Cake
harvestcraft:pamredvelvetCake, Red Velvet Cake
harvestcraft:pamlamingtonCake, Lamington
harvestcraft:pampavlovaCake, Pavlova
harvestcraft:pamholidayCake, Holiday Cake
harvestcraft:pampumpkincheeseCake, Pumpkin Cheese Cake
progressiveautomation:Miner, Wooden Miner
progressiveautomation:MinerStone, Stone Miner
progressiveautomation:MinerIron, Iron Miner
progressiveautomation:MinerDiamond, Diamond Miner
progressiveautomation:Chopper, Wooden Chopper
progressiveautomation:ChopperStone, Stone Chopper
progressiveautomation:ChopperIron, Iron Chopper
progressiveautomation:ChopperDiamond, Diamond Chopper
progressiveautomation:Planter, Wooden Planter
progressiveautomation:PlanterStone, Stone Planter
progressiveautomation:PlanterIron, Iron Planter
progressiveautomation:PlanterDiamond, Diamond Planter
progressiveautomation:Generator, Wooden Generator
progressiveautomation:GeneratorStone, Stone Generator
progressiveautomation:GeneratorIron, Iron Generator
progressiveautomation:GeneratorDiamond, Diamond Generator
progressiveautomation:Crafter, Wooden Crafter
progressiveautomation:CrafterStone, Stone Crafter
progressiveautomation:CrafterIron, Iron Crafter
progressiveautomation:CrafterDiamond, Diamond Crafter
progressiveautomation:Farmer, Wooden Animal Farmer
progressiveautomation:FarmerStone, Stone Animal Farmer
progressiveautomation:FarmerIron, Iron Animal Farmer
progressiveautomation:FarmerDiamond, Diamond Animal Farmer
progressiveautomation:Killer, Wooden Killer
progressiveautomation:KillerStone, Stone Killer
progressiveautomation:KillerIron, Iron Killer
progressiveautomation:KillerDiamond, Diamond Killer
RandomThings:playerinterface, Player Interface
RandomThings:creativePlayerInterface, Creative Player Interface
RandomThings:fluidDisplay, Fluid Display
RandomThings:advancedFluidDisplay, Advanced Fluid Display
RandomThings:fertilizedDirt, Fertilized Dirt
RandomThings:fertilizedDirt_tilled, Fertilized Dirt
RandomThings:itemCollector, Item Collector
RandomThings:advancedItemCollector, Advanced Item Collector
RandomThings:onlineDetector, Online Detector
RandomThings:moonSensor, Moon Phase Sensor
RandomThings:bloodMoonSensor, Bloodmoon Sensor
RandomThings:notificationInterface, Notification Interface
RandomThings:lapisLamp, Lapis Lamp
RandomThings:wirelessLever, Wireless Lever
RandomThings:dyeingMachine, Dyeing Machine
RandomThings:spectreGlass, Spectre Glass
RandomThings:energyDistributor, Energy Distributor
RandomThings:enderEnergyDistributor, Ender Energy Distributor
RandomThings:spectreBlock:0, Black Spectre Block
RandomThings:spectreBlock:1, Red Spectre Block
RandomThings:spectreBlock:2, Green Spectre Block
RandomThings:spectreBlock:3, Brown Spectre Block
RandomThings:spectreBlock:4, Blue Spectre Block
RandomThings:spectreBlock:5, Purple Spectre Block
RandomThings:spectreBlock:6, Cyan Spectre Block
RandomThings:spectreBlock:7, Light Gray Spectre Block
RandomThings:spectreBlock:8, Gray Spectre Block
RandomThings:spectreBlock:9, Pink Spectre Block
RandomThings:spectreBlock:10, Lime Spectre Block
RandomThings:spectreBlock:11, Yellow Spectre Block
RandomThings:spectreBlock:12, Light Blue Spectre Block
RandomThings:spectreBlock:13, Magenta Spectre Block
RandomThings:spectreBlock:14, Orange Spectre Block
RandomThings:spectreBlock:15, White Spectre Block
RandomThings:imbuingStation, Imbuing Station
ReactorCraft:reactorcraft_block_reactor, tile.Reactor.name
ReactorCraft:reactorcraft_block_mats:0, Concrete
ReactorCraft:reactorcraft_block_mats:1, Corium
ReactorCraft:reactorcraft_block_mats:2, Calcite Block
ReactorCraft:reactorcraft_block_mats:3, Steam Scrubber
ReactorCraft:reactorcraft_block_coriumflowing, tile.MoltenCorium(Flowing).name
ReactorCraft:reactorcraft_block_modelreactor, tile.ReactorModelled.name
ReactorCraft:reactorcraft_block_machine, tile.Machine.name
ReactorCraft:reactorcraft_block_modelmachine, tile.MachineModelled.name
ReactorCraft:reactorcraft_block_ore:1, Pitchblende
ReactorCraft:reactorcraft_block_ore:2, Cadmium Ore
ReactorCraft:reactorcraft_block_ore:3, Indium Ore
ReactorCraft:reactorcraft_block_ore:4, Silver Ore
ReactorCraft:reactorcraft_block_ore:5, Pitchblende
ReactorCraft:reactorcraft_block_ore:6, Ammonium Chloride
ReactorCraft:reactorcraft_block_ore:7, Calcite
ReactorCraft:reactorcraft_block_ore:8, Magnetite Ore
ReactorCraft:reactorcraft_block_ore:9, Thorite
ReactorCraft:reactorcraft_block_fluorite:0, Blue Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:1, Pink Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:2, Orange Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:3, Magenta Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:4, Green Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:5, Red Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:6, White Fluorite Block
ReactorCraft:reactorcraft_block_fluorite:7, Yellow Fluorite Block
ReactorCraft:reactorcraft_block_fluoriteore:0, Blue Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:1, Pink Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:2, Orange Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:3, Magenta Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:4, Green Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:5, Red Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:6, White Fluorite
ReactorCraft:reactorcraft_block_fluoriteore:7, Yellow Fluorite
ReactorCraft:reactorcraft_block_steam, tile.Steam.name
ReactorCraft:reactorcraft_block_duct, tile.Duct.name
ReactorCraft:reactorcraft_block_line, tile.Line.name
ReactorCraft:reactorcraft_block_injectormulti:0, Plasma Injector Base
ReactorCraft:reactorcraft_block_injectormulti:1, Plasma Injector Lower Corner
ReactorCraft:reactorcraft_block_injectormulti:2, Plasma Injector Side Panel
ReactorCraft:reactorcraft_block_injectormulti:3, Plasma Injector Top
ReactorCraft:reactorcraft_block_injectormulti:4, Plasma Injector Upper Corner
ReactorCraft:reactorcraft_block_injectormulti:5, Plasma Injector Induction Coil
ReactorCraft:reactorcraft_block_injectormulti:6, Plasma Injector Column Piece
ReactorCraft:reactorcraft_block_injectormulti:7, Plasma Injector Hysteresis Core
ReactorCraft:reactorcraft_block_heatermulti:0, Laser Concentration Lens
ReactorCraft:reactorcraft_block_heatermulti:1, Thermal Insulation Core
ReactorCraft:reactorcraft_block_heatermulti:2, Preheater Unit Housing Corner
ReactorCraft:reactorcraft_block_heatermulti:3, Preheater Unit Housing Edge
ReactorCraft:reactorcraft_block_heatermulti:4, Preheater Unit Housing Face
ReactorCraft:reactorcraft_block_solenoidmulti:0, Ferromagnetic Base
ReactorCraft:reactorcraft_block_solenoidmulti:1, Magnetic Linkage
ReactorCraft:reactorcraft_block_solenoidmulti:2, Central Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:3, Auxiliary Permanent Magnet
ReactorCraft:reactorcraft_block_solenoidmulti:4, Hysteresis Rod
ReactorCraft:reactorcraft_block_solenoidmulti:5, Solenoid Hub
ReactorCraft:reactorcraft_block_generatormulti:0, Generator Rotor Core
ReactorCraft:reactorcraft_block_generatormulti:1, Generator Rotor Winding
ReactorCraft:reactorcraft_block_generatormulti:2, Generator Housing
ReactorCraft:reactorcraft_block_generatormulti:3, Steam Bypass
ReactorCraft:reactorcraft_block_turbinemulti:0, Turbine Blades
ReactorCraft:reactorcraft_block_turbinemulti:1, Turbine Housing
ReactorCraft:reactorcraft_block_turbinemulti:2, Steam Injector
ReactorCraft:reactorcraft_block_flywheelmulti:0, Turbine Flywheel Core
ReactorCraft:reactorcraft_block_flywheelmulti:1, Flywheel Vibration Dampeners
ReactorCraft:reactorcraft_block_flywheelmulti:2, Turbine Flywheel Frame
ReactorCraft:reactorcraft_block_lamp:0, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:1, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:2, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:3, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:4, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:5, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:6, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:7, Yellow Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:8, Blue Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:9, Pink Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:10, Orange Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:11, Magenta Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:12, Green Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:13, Red Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:14, White Tritium Lamp
ReactorCraft:reactorcraft_block_lamp:15, Yellow Tritium Lamp
reccomplex:negativeSpace:0, Space (0 ~ Negative Space)
reccomplex:negativeSpace:1, Space (1 ~ Natural Air)
reccomplex:negativeSpace:2, Space (2)
reccomplex:negativeSpace:3, Space (3)
reccomplex:negativeSpace:4, Space (4)
reccomplex:negativeSpace:5, Space (5)
reccomplex:negativeSpace:6, Space (6)
reccomplex:negativeSpace:7, Space (7)
reccomplex:negativeSpace:8, Space (8)
reccomplex:negativeSpace:9, Space (9)
reccomplex:negativeSpace:10, Space (10)
reccomplex:negativeSpace:11, Space (11)
reccomplex:negativeSpace:12, Space (12)
reccomplex:negativeSpace:13, Space (13)
reccomplex:negativeSpace:14, Space (14)
reccomplex:negativeSpace:15, Space (15)
reccomplex:naturalFloor:0, Solid (0 ~ Natural Floor)
reccomplex:naturalFloor:1, Solid (1 ~ Barrier)
reccomplex:naturalFloor:2, Solid (2)
reccomplex:naturalFloor:3, Solid (3)
reccomplex:naturalFloor:4, Solid (4)
reccomplex:naturalFloor:5, Solid (5)
reccomplex:naturalFloor:6, Solid (6)
reccomplex:naturalFloor:7, Solid (7)
reccomplex:naturalFloor:8, Solid (8)
reccomplex:naturalFloor:9, Solid (9)
reccomplex:naturalFloor:10, Solid (10)
reccomplex:naturalFloor:11, Solid (11)
reccomplex:naturalFloor:12, Solid (12)
reccomplex:naturalFloor:13, Solid (13)
reccomplex:naturalFloor:14, Solid (14)
reccomplex:naturalFloor:15, Solid (15)
reccomplex:structureGenerator, Structure Generator
reccomplex:mazeGenerator, Maze Generator
reccomplex:weighted_command_block, Spawn Command Block
rftools:machineFrame, Machine Frame
rftools:machineBase, Machine Base
rftools:rfMonitorBlock, RF Monitor
rftools:liquidMonitorBlock, Liquid Monitor
rftools:crafterBlock1, Crafter Tier 1
rftools:crafterBlock2, Crafter Tier 2
rftools:crafterBlock3, Crafter Tier 3
rftools:relayBlock, Power Relay
rftools:itemFilterBlock, Item Filter
rftools:dimletFilterBlock, Dimlet Filter
rftools:storageScannerBlock, Storage Scanner
rftools:machineInfuserBlock, Machine Infuser
rftools:environmentalControllerBlock, Environmental Controller
rftools:spawnerBlock, Spawner
rftools:matterBeamerBlock, Matter Beamer
rftools:volcanicCoreBlock, Volcanic Core
rftools:volcanicBlock, Volcanic Block
rftools:screenBlock, Screen
rftools:screenHitBlock, Screen
rftools:screenControllerBlock, Screen Controller
rftools:dimletResearcherBlock, Dimlet Researcher
rftools:dimletScramblerBlock, Dimlet Scrambler
rftools:dimensionEnscriberBlock, Dimension Enscriber
rftools:dimensionBuilderBlock, Dimension Builder
rftools:creativeDimensionBuilderBlock, Creative Dimension Builder
rftools:dimensionEditorBlock, Dimension Editor
rftools:dimensionMonitorBlock, Dimension Monitor
rftools:dimensionalShardBlock, Dimensional Shard Ore
rftools:dimensionalBlankBlock, Dimensional Blank Block
rftools:dimensionalBlock, Dimensional Block
rftools:dimensionalSmallBlocks, Dimensional Small Blocks
rftools:dimensionalCrossBlock, Dimensional Cross Block
rftools:dimensionalCross2Block, Dimensional Cross 2 Block
rftools:dimensionalPattern1Block, Dimensional Pattern 1 Block
rftools:dimensionalPattern2Block, Dimensional Pattern 2 Block
rftools:activityProbeBlock, Activity Probe
rftools:energyExtractorBlock, Energy Extractor
rftools:matterTransmitterBlock, Matter Transmitter
rftools:matterReceiverBlock, Matter Receiver
rftools:dialingDeviceBlock, Dialing Device
rftools:simpleDialerBlock, Simple Dialer
rftools:destinationAnalyzerBlock, Destination Analyzer
rftools:matterBoosterBlock, Matter Booster
rftools:endergenicBlock, Endergenic Generator
rftools:pearlInjectorBlock, Pearl Injector
rftools:enderMonitorBlock, Ender Monitor
rftools:sequencerBlock, Sequencer
rftools:timerBlock, Timer
rftools:counterBlock, Counter
rftools:redstoneTransmitterBlock, Redstone Transmitter
rftools:redstoneReceiverBlock, Redstone Receiver
rftools:shieldBlock, Shield Projector Tier 1
rftools:shieldBlock2, Shield Projector Tier 2
rftools:shieldBlock3, Shield Projector Tier 3
rftools:shieldBlock4, Shield Projector Tier 4
rftools:invisibleShieldBlock, Invisible Shield Block
rftools:noTickInvisibleShieldBlock, Invisible Shield Block
rftools:solidShieldBlock, Solid Shield Block
rftools:noTickolidShieldBlock, Solid Shield Block
rftools:shieldTemplateBlock:0, Shield Template
rftools:shieldTemplateBlock:1, Shield Template
rftools:shieldTemplateBlock:2, Shield Template
rftools:shieldTemplateBlock:3, Shield Template
rftools:dimletWorkbenchBlock, Dimlet Workbench
rftools:biomeAbsorberBlock, Biome Absorber
rftools:materialAbsorberBlock, Material Absorber
rftools:liquidAbsorberBlock, Liquid Absorber
rftools:timeAbsorberBlock, Time Absorber
rftools:proxyBlock, Proxy Block
rftools:spaceChamberBlock, Space Chamber Corner Block
rftools:spaceChamberControllerBlock, Space Chamber Controller Block
rftools:spaceProjectorBlock, Space Projector Block (WIP)
rftools:builderBlock, Builder Block
rftools:supportBlock, Support Block
rftools:blockProtectorBlock, Block Protector
rftools:modularStorageBlock, Modular Storage
rftools:remoteStorageBlock, Remote Storage
rftools:securityManagerBlock, Security Manager
RPGAdvMod:pole:0, Iron Pole
RPGAdvMod:pole:1, Stone Pole
RPGAdvMod:pole:2, Plank Pole
RPGAdvMod:pole:3, Wood Pole
RPGAdvMod:pole:4, Fancy Gold Pole
RPGAdvMod:pole:5, Fancy Iron Pole
RPGAdvMod:pole:6, Fancy Magic Pole
RPGAdvMod:wallsign, WaySign
secretroomsmod:TorchLever, Torch Lever
secretroomsmod:OneWayGlass, One-Way Glass
secretroomsmod:CamoGate, Secret Gate
secretroomsmod:CamoDummy, tile.CamoDummy.name
secretroomsmod:SecretTrapDoor, Secret TrapDoor
secretroomsmod:SecretWoodenDoorBlock, Secret Wooden Door
secretroomsmod:SecretIronDoorBlock, Secret Iron Door
secretroomsmod:GhostBlock, Ghost Block
secretroomsmod:SecretCamoLever, Secret lever
secretroomsmod:SecretCamoRedstone, Secret Redstone
secretroomsmod:SecretCamoButton:0, Secret Stone Button
secretroomsmod:SecretCamoButton:1, Secret Wood Button
secretroomsmod:SecretPressurePlate, Secret Pressure Plate
secretroomsmod:SecretPlayerPlate, Secret Player Plate
secretroomsmod:SecretLightPlate, Secret Weighted Plate (light)
secretroomsmod:SecretHeavyPlate, Secret Weighted Plate (heavy)
secretroomsmod:SecretStair, Secret Stairs
secretroomsmod:SecretChest, Secret Chest
